Model,Dataset,Modality,N,Evaluation,N_features,AUC_ROC,AUC_CI,AUC_PR,Sensitivity,Specificity,F1,MCC,Brier
XGBoost_Top10,PD_only,Clinical,82,LOOCV_n82,10.0,0.878,(0.792–0.950),0.655,0.826,0.847,0.745,0.638,0.132
SVM_Top10,PD_only,Clinical,82,LOOCV_n82,10.0,0.846,(0.747–0.927),0.612,0.870,0.780,0.714,0.595,0.143
XGBoost_AllFeatures,Full,Clinical,82,LOOCV_n167,96.0,0.829,(0.730–0.911),0.555,0.783,0.771,0.486,0.414,0.109
SVM_AllFeatures,Full,Clinical,82,LOOCV_n167,96.0,0.814,(0.720–0.895),0.389,0.609,0.882,0.519,0.435,0.120
XGBoost_PermutationTest,PD_only,Clinical,82,Permutation_p=0.0030,,0.780,,,,,,,
XGBoost_Top5,PD_only,Clinical,82,LOOCV_n82,5.0,0.746,(0.603–0.875),0.527,0.652,0.898,0.682,0.567,0.173
XGBoost_AllFeatures,PD_only,Clinical,82,Repeated5fold_10rep,96.0,0.731,(0.513–0.949),,,,,,
SVM_AllFeatures,PD_only,Clinical,82,Repeated5fold_10rep,96.0,0.702,(0.469–0.936),,,,,,
XGBoost_AllFeatures,PD_only,Clinical,82,LOOCV_n82,96.0,0.688,(0.542–0.814),0.493,0.609,0.763,0.549,0.352,0.216
SVM_AllFeatures,PD_only,Clinical,82,LOOCV_n82,96.0,0.664,(0.518–0.798),0.526,0.435,0.864,0.488,0.325,0.196
XGBoost,PADS_Wearable,Wearable,355,5fold_CV,116,0.859,(0.818–0.897),0.959,0.629,0.899,0.759,0.433,0.131
MLP,PADS_Wearable,Wearable,355,5fold_CV,116,0.859,(0.813–0.904),0.953,0.801,0.797,0.863,0.522,0.132
SVM,PADS_Wearable,Wearable,355,5fold_CV,116,0.855,(0.811–0.895),0.955,0.649,0.924,0.778,0.471,0.130
XGBoost,GaitPDB_Gait,Gait,111,5fold_CV,79,1.000,(1.000–1.000),1.000,1.000,1.000,1.000,1.000,0.001
XGBoost,GaitPDB_Gait,Gait,165,5fold_CV,79,0.996,(0.973–0.998),0.990,0.935,0.958,0.951,0.890,0.044
MLP,GaitPDB_Gait,Gait,165,5fold_CV,79,0.940,(0.895–0.975),0.915,0.925,0.889,0.920,0.815,0.087
SVM,GaitPDB_Gait,Gait,165,5fold_CV,79,0.940,(0.902–0.972),0.950,0.871,0.889,0.890,0.756,0.096
MLP,GaitPDB_Gait,Gait,111,5fold_CV,79,0.830,(0.751–0.905),0.731,0.684,0.849,0.693,0.537,0.175
SVM,GaitPDB_Gait,Gait,111,5fold_CV,79,0.822,(0.743–0.895),0.648,0.868,0.685,0.702,0.525,0.170
MLP,UCI_Voice,Voice,195,5fold_CV,22,0.953,(0.945–0.992),0.990,0.871,0.958,0.924,0.758,0.054
XGBoost,UCI_Voice,Voice,195,5fold_CV,22,0.967,(0.943–0.987),0.989,0.891,0.938,0.932,0.770,0.061
SVM,UCI_Voice,Voice,195,5fold_CV,22,0.944,(0.907–0.975),0.980,0.850,0.917,0.906,0.698,0.078
ClinicalOnly,GaitPDB,Fusion,111,5-fold CV,72+7,0.993,(0.981–1.000),0.988,0.974,0.959,0.949,0.922,0.073
SimpleConcat,GaitPDB,Fusion,111,5-fold CV,72+7,0.893,(0.826–0.947),0.804,0.895,0.836,0.810,0.703,0.149
CrossAttention,GaitPDB,Fusion,111,5-fold CV,72+7,0.891,(0.830–0.947),0.800,0.711,0.945,0.783,0.694,0.126
GaitOnly,GaitPDB,Fusion,111,5-fold CV,72+7,0.655,(0.547–0.765),0.533,0.605,0.671,0.541,0.266,0.226
